hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
DC2CFDZEUSA2-02;Vlan3111;up;up, autostate enabled;NDG_REBOUND_PROVIDER11_DC2  Internet Address is 173.2.21.252/23;;
DC2CFDZEUSA2-02;Vlan3112;up;up, autostate enabled;NDG_REBOUND_PROVIDER12_DC2  Internet Address is 173.2.23.252/23;;
DC2CFDZEUSA2-02;Vlan3113;up;up, autostate enabled;NDG_REBOUND_PROVIDER13_DC2  Internet Address is 173.2.25.252/23;;
DC2CFDZEUSA2-02;Vlan3114;up;up, autostate enabled;NDG_REBOUND_PROVIDER14_DC2  Internet Address is 173.2.27.252/23;;
DC2CFDZEUSA2-02;Vlan3115;up;up, autostate enabled;NDG_REBOUND_PROVIDER15_DC2  Internet Address is 173.2.29.252/23;;
DC2CFDZEUSA2-02;Vlan3116;up;up, autostate enabled;NDG_REBOUND_PROVIDER16_DC2  Internet Address is 173.2.31.252/23;;
DC2CFDZEUSA2-02;Vlan3117;up;up, autostate enabled;NDG_REBOUND_PROVIDER17_DC2  Internet Address is 173.2.33.252/23;;
DC2CFDZEUSA2-02;Vlan3118;up;up, autostate enabled;NDG_REBOUND_PROVIDER18_DC2  Internet Address is 173.2.35.252/23;;
DC2CFDZEUSA2-02;Vlan3119;up;up, autostate enabled;NDG_REBOUND_PROVIDER19_DC2  Internet Address is 173.2.37.252/23;;
DC2CFDZEUSA2-02;Vlan3120;up;up, autostate enabled;NDG_REBOUND_PROVIDER20_DC2  Internet Address is 173.2.39.252/23;;
DC2CFDZEUSA2-02;Vlan3121;up;up, autostate enabled;NDG_REBOUND_PROVIDER21_DC2  Internet Address is 173.2.41.252/23;;
DC2CFDZEUSA2-02;Vlan3122;up;up, autostate enabled;NDG_REBOUND_PROVIDER22_DC2  Internet Address is 173.2.43.252/23;;
DC2CFDZEUSA2-02;Vlan3123;up;up, autostate enabled;NDG_REBOUND_PROVIDER23_DC2  Internet Address is 173.2.45.252/23;;
DC2CFDZEUSA2-02;Vlan3124;up;up, autostate enabled;NDG_REBOUND_PROVIDER24_DC2  Internet Address is 173.2.47.252/23;;
DC2CFDZEUSA2-02;Vlan3125;up;up, autostate enabled;NDG_REBOUND_PROVIDER25_DC2  Internet Address is 173.2.49.252/23;;
DC2CFDZEUSA2-02;Vlan3126;up;up, autostate enabled;NDG_REBOUND_PROVIDER26_DC2  Internet Address is 173.2.51.252/23;;
DC2CFDZEUSA2-02;Vlan3127;up;up, autostate enabled;NDG_REBOUND_PROVIDER27_DC2  Internet Address is 173.2.53.252/23;;
DC2CFDZEUSA2-02;Vlan3128;up;up, autostate enabled;NDG_REBOUND_PROVIDER28_DC2  Internet Address is 173.2.55.252/23;;
DC2CFDZEUSA2-02;Vlan3129;up;up, autostate enabled;NDG_REBOUND_PROVIDER29_DC2  Internet Address is 173.2.57.252/23;;
DC2CFDZEUSA2-02;Vlan3130;up;up, autostate enabled;NDG_REBOUND_PROVIDER30_DC2  Internet Address is 173.2.59.252/23;;
DC2CFDZEUSA2-02;Vlan3131;up;up, autostate enabled;NDG_REBOUND_PROVIDER31_DC2  Internet Address is 173.2.61.252/23;;
DC2CFDZEUSA2-02;Vlan3132;up;up, autostate enabled;NDG_REBOUND_PROVIDER32_DC2  Internet Address is 173.2.63.252/23;;
DC2CFDZEUSA2-02;Vlan3803;up;up, autostate enabled;<> To_DC2ZEUSA2-02  Internet Address is 192.2.248.21/30;;
DC2CFDZEUSA2-02;Vlan3877;up;up, autostate enabled;LAN_TSM_SHARED_SERVICES_DC2  Internet Address is 175.57.1.28/27;;
DC2CFDZEUSA2-02;Vlan3903;up;up, autostate enabled;<> To_DC2CFDZEUSA2-02  Internet Address is 192.2.8.222/30;;
DC2CFDZEUSA3-02;mgmt0;up;;;192.0.20.17/24;
DC2CFDZEUSA3-02;Ethernet1/1;up;up;<*>FED_DC2-B2_Te0/0/1/5_10G;;
DC2CFDZEUSA3-02;Ethernet1/1.991;up;up;FED_ADMIN_DC2-B2_Te0/0/1/5_10G;192.2.189.206/30;
DC2CFDZEUSA3-02;Ethernet1/1.2133;up;up;FED_RDS_DC2-B2_Te0/0/1/5_10G;192.2.34.150/30;
DC2CFDZEUSA3-02;Ethernet1/1.2213;up;up;FED_RIX_DC2-B2_Te0/0/1/5_10G;192.2.21.249/30;
DC2CFDZEUSA3-02;Ethernet1/1.2491;up;up;FED_RVP_ETRALI_DC2-B2_Te0/0/1/5_10G;192.2.156.86/30;
DC2CFDZEUSA3-02;Ethernet1/1.2502;up;up;FED_RVP_PRVSHAREDSERVICES_DC2-B2_Te0/0/1/5_10G;192.4.148.17/30;
DC2CFDZEUSA3-02;Ethernet1/1.3802;up;up;FED_RVP_SHAREDSERVICES_DC2-B2_Te0/0/1/5_10G;192.2.248.17/30;
DC2CFDZEUSA3-02;Ethernet1/1.3902;up;up;FED_RVP_RUS_DC2-B2_Te0/0/1/5_10G;192.2.8.225/30;
DC2CFDZEUSA3-02;Ethernet1/2;down (Administratively down);down;<*> DC2CFDZEUSA2-02_Eth1/2;;
DC2CFDZEUSA3-02;Ethernet1/3;down (Administratively down);down;<*> DC2CFDZEUSA2-02_Eth1/3;;
DC2CFDZEUSA3-02;Ethernet1/4;up;up;<*> DC2ZEUSA2-01_Eth2/15;;
DC2CFDZEUSA3-02;Ethernet1/5;up;up;<*> DC2ZEUSA2-02_Eth2/15;;
DC2CFDZEUSA3-02;Ethernet1/6;up;up;<*> DC2CLSZEUSA3-01_Eth2/15;;
DC2CFDZEUSA3-02;Ethernet1/7;up;up;<*> DC2CLSZEUSA3-02_Eth2/15;;
DC2CFDZEUSA3-02;Ethernet1/8;up;up;<*> DC2CLSZEUSB1-01_Eth1/2;;
DC2CFDZEUSA3-02;Ethernet1/9;up;up;<*> DC2CLSZEUSB1-02_Eth1/2;;
DC2CFDZEUSA3-02;Ethernet1/10;up;up;<*> DC2CLSZEUSB1-A3_Eth1/1;;
DC2CFDZEUSA3-02;Ethernet1/11;up;up;<*> DC2CLSZEUSB1-A4_Eth1/1;;
DC2CFDZEUSA3-02;Ethernet1/12;up;up;<*> DC2RETALMB1-E4_ETH1/32;;
DC2CFDZEUSA3-02;Ethernet1/13;up;up;DC2A1-TSM-CFD-01;;
DC2CFDZEUSA3-02;Ethernet1/14;up;up;RESERVER_SIGMA-SPAN;;
DC2CFDZEUSA3-02;Ethernet1/15;up;up;SIGMA_DC2A4-MATRIXG-01;;
DC2CFDZEUSA3-02;Ethernet1/16;up;up;SIGMA_DC2A4-MATRIXG-01;;
DC2CFDZEUSA3-02;Ethernet1/17;down (Administratively down);down;<*> DC2CFDZEUSA2-02_Po10;;
DC2CFDZEUSA3-02;Ethernet1/18;down (Administratively down);down;<*> DC2CFDZEUSA2-02_Po10;;
DC2CFDZEUSA3-02;Ethernet1/19;down (SFP not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet1/20;up;up;DC2A3-ZEUS-SDX-A2_10/1;;
DC2CFDZEUSA3-02;Ethernet1/21;up;up;DC2A3-ZEUS-SDX-A2_10/2;;
DC2CFDZEUSA3-02;Ethernet1/22;up;up;DC2A3-ZEUS-SDX-A2_10/3;;
DC2CFDZEUSA3-02;Ethernet1/23;up;up;DC2A3-ZEUS-SDX-A2_10/4;;
DC2CFDZEUSA3-02;Ethernet1/24;down (SFP not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet2/1;up;up;<*> DC2CFDZEUSA2-02_Eth2/1;;
DC2CFDZEUSA3-02;Ethernet2/2;down (Administratively down);down;RESERVED_FUTUR_L3BTOB;;
DC2CFDZEUSA3-02;Ethernet2/3;down (XCVR not inserted);down;RESERVED;;
DC2CFDZEUSA3-02;Ethernet2/4;down (XCVR not inserted);down;RESERVED;;
DC2CFDZEUSA3-02;Ethernet2/5;up;up;<*> DC2CLSZEUSA2-05_Eth2/4;;
DC2CFDZEUSA3-02;Ethernet2/6;up;up;<*> DC2CLSZEUSA2-06_Eth2/4;;
DC2CFDZEUSA3-02;Ethernet2/7;up;up;<*> DC2CLSZEUSA2-07_Eth1/52;;
DC2CFDZEUSA3-02;Ethernet2/8;up;up;<*> DC2CLSZEUSA2-08_Eth1/52;;
DC2CFDZEUSA3-02;Ethernet2/9;down (XCVR not inserted);down;RESERVED;;
DC2CFDZEUSA3-02;Ethernet2/10;down (XCVR not inserted);down;RESERVED;;
DC2CFDZEUSA3-02;Ethernet2/11;up;up;<*> DC2CLSZEUSA3-03_ETH1_52;;
DC2CFDZEUSA3-02;Ethernet2/12;up;up;<*> DC2CLSZEUSA3-03_ETH1_52;;
DC2CFDZEUSA3-02;Ethernet3/1;down (Link not connected);up;<*> DC2CFDZEUSA3-02_Eth3/1;;
DC2CFDZEUSA3-02;Ethernet3/2;down (Administratively down);down;RESERVED_FUTUR_L3BTOB;;
DC2CFDZEUSA3-02;Ethernet3/3;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/4;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/5;down (XCVR not inserted);down;;;
