hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;HARDWARE_TYPE;ADDRESS;BIA;DESCRIPTION;IP_ADDRESS;MTU;DUPLEX;SPEED;BANDWIDTH;DELAY;ENCAPSULATION;
;Ethernet1/35;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd2;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/36;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd3;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/37;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd4;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/38;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd5;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/39;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd6;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/40;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd7;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/41;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd8;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/42;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd9;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/43;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fda;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/44;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fdb;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
